YEAR	Month	Flux	Sunspot
1974	4	86.08	57.5
1974	5	90.6	56.3
1974	6	86.26	51.5
1974	7	92.48	79.1
1974	8	82.99	47.9
1974	9	87.77	57.2
1974	10	97.63	67.2
1974	11	90.29	35.9
1974	12	81.12	29.6
1975	1	77.48	27.3
1975	2	74.19	16.7
1975	3	72.38	16.9
1975	4	70.74	7.7
1975	5	70.07	13.1
1975	6	69.7	16.7
1975	7	77.18	40.4
1975	8	90.39	56.7
1975	9	79.55	20.3
1975	10	75.74	13.6
1975	11	80.84	27.9
1975	12	74.6	11.6
1976	1	74.75	11.9
1976	2	70.55	6.4
1976	3	76.66	31.5
1976	4	76.28	27.3
1976	5	70.64	18.2
1976	6	70.57	17.9
1976	7	67.55	2.9
1976	8	74.76	24.1
1976	9	73.08	20
1976	10	75.92	29.7
1976	11	72.88	7.9
1976	12	76.72	22.3
1977	1	77.42	23.8
1977	2	82.29	33.3
1977	3	76.55	13
1977	4	77.62	19
1977	5	79.65	27
1977	6	91.54	54.9
1977	7	81.05	30.6
1977	8	84.26	43
1977	9	100.2	62.4
1977	10	96.92	62.1
1977	11	93.7	41.6
1977	12	102.08	61.4
1978	1	109.57	73.7
1978	2	145.44	132.6
1978	3	141.78	108.4
1978	4	149.37	141.2
1978	5	146.49	117.1
1978	6	142.2	134.6
1978	7	131.09	99.7
1978	8	114.05	82.4
1978	9	157.9	195.7
1978	10	158.19	177.1
1978	11	151.53	138.5
1978	12	175.49	173.9
1979	1	202.99	235.9
1979	2	204.12	194.7
1979	3	185.82	195.3
1979	4	173.75	143.7
1979	5	165.2	190.3
1979	6	180.31	211.7
1979	7	165.95	225.7
1979	8	172.72	201.4
1979	9	200.24	266.9
1979	10	217.87	263.6
1979	11	231.75	259.5
1979	12	203.53	249.6
1980	1	206.16	226.1
1980	2	199.99	219.4
1980	3	168.08	178.7
1980	4	207.9	232.2
1980	5	224.03	254.7
1980	6	193.16	222.7
1980	7	184.79	192.9
1980	8	166.22	191.7
1980	9	183.86	219.6
1980	10	204.23	233.3
1980	11	218.09	209.5
1980	12	227.44	246.9
1981	1	174.56	156.6
1981	2	204.52	189.9
1981	3	205.29	196.6
1981	4	223.21	225.3
1981	5	194.63	194.7
1981	6	156.86	131.6
1981	7	191.95	205.3
1981	8	220.59	242.5
1981	9	219.5	245.3
1981	10	224.3	216.2
1981	11	207.8	186
1981	12	207.77	195.4
1982	1	179.04	149.8
1982	2	214.24	230.9
1982	3	210.47	221.1
1982	4	161.82	170.3
1982	5	144.65	119.3
1982	6	171.91	163.7
1982	7	159.57	139.4
1982	8	167.87	161.9
1982	9	165.29	167.4
1982	10	161.93	134.3
1982	11	167.38	127.5
1982	12	199.35	169
1983	1	142.29	115.5
1983	2	122.63	73.1
1983	3	118.55	88.7
1983	4	118.95	109.6
1983	5	137.07	132.5
1983	6	138.64	131.5
1983	7	125.03	108.9
1983	8	124.37	96
1983	9	109.03	69.9
1983	10	112.42	72.5
1983	11	92.45	45.7
1983	12	93.44	45.6
1984	1	116.11	74.8
1984	2	140.56	110.2
1984	3	122.03	116.7
1984	4	128.67	90.4
1984	5	128.27	96.9
1984	6	100.27	65.1
1984	7	89.25	55.7
1984	8	83.67	35
1984	9	78.07	22.6
1984	10	73.55	12.6
1984	11	76.28	26.5
1984	12	75.85	21.4
1985	1	74.46	17.8
1985	2	73.67	20.7
1985	3	73.25	16.9
1985	4	75.14	20.4
1985	5	80.24	32.4
1985	6	76.08	28.3
1985	7	78.71	39.9
1985	8	71.48	10.1
1985	9	69.48	4.3
1985	10	74.68	22
1985	11	74.24	17.9
1985	12	74.77	15.8
1986	1	73.25	2.8
1986	2	83.58	27.9
1986	3	77.02	13.8
1986	4	75.06	22.4
1986	5	72.61	16.1
1986	6	67.59	0.6
1986	7	70.21	18.1
1986	8	68.37	9.9
1986	9	68.71	5.1
1986	10	82.95	40.1
1986	11	77.14	15.4
1986	12	72.64	5.8
1987	1	72.51	9.8
1987	2	71.53	3.4
1987	3	74.01	17.4
1987	4	84.94	46
